Teams, Day of Week, Date, Year, Time, Venue, Attendance, Duration
Rays at Red Sox, Friday, April 13, 2012, 2:09PM, Fenway Park, 37032, 3:19
Rays at Red Sox, Saturday, April 14, 2012, 4:05PM, Fenway Park, 38024, 3:18
Rays at Red Sox, Sunday, April 15, 2012, 1:38PM, Fenway Park, 38024, 3:12
Rays at Red Sox, Monday, April 16, 2012, 11:04AM, Fenway Park, 38108, 3:08
Rangers at Red Sox, Tuesday, April 17, 2012, 7:13PM, Fenway Park, 38229, 3:25
Rangers at Red Sox, Wednesday, April 18, 2012, 7:09PM, Fenway Park, 37967, 3:03
Yankees at Red Sox, Friday, April 20, 2012, 3:17PM, Fenway Park, 36770, 3:18
Yankees at Red Sox, Saturday, April 21, 2012, 4:07PM, Fenway Park, 37839, 3:52
Athletics at Red Sox, Monday, April 30, 2012, 7:11PM, Fenway Park, 37359, 3:23
Athletics at Red Sox, Tuesday, May 1, 2012, 7:11PM, Fenway Park, 37225, 3:31
Athletics at Red Sox, Wednesday, May 2, 2012, 7:10PM, Fenway Park, 37434, 3:22
Orioles at Red Sox, Friday, May 4, 2012, 7:11PM, Fenway Park, 37223, 4:37
Orioles at Red Sox, Saturday, May 5, 2012, 1:11PM, Fenway Park, 37581, 2:56
Orioles at Red Sox, Sunday, May 6, 2012, 1:36PM, Fenway Park, 37394, 6:07
Indians at Red Sox, Thursday, May 10, 2012, 7:10PM, Fenway Park, 37348, 3:11
Indians at Red Sox, Friday, May 11, 2012, 7:10PM, Fenway Park, 37438, 3:57
Indians at Red Sox, Saturday, May 12, 2012, 7:10PM, Fenway Park, 38048, 2:30
Indians at Red Sox, Sunday, May 13, 2012, 1:34PM, Fenway Park, 37611, 2:37
Mariners at Red Sox, Monday, May 14, 2012, 7:10PM, Fenway Park, 37334, 2:25
Mariners at Red Sox, Tuesday, May 15, 2012, 4:09PM, Fenway Park, 37292, 2:53
Rays at Red Sox, Friday, May 25, 2012, 7:12PM, Fenway Park, 37594, 3:25
Rays at Red Sox, Saturday, May 26, 2012, 7:15PM, Fenway Park, 38099, 3:00
Rays at Red Sox, Sunday, May 27, 2012, 1:38PM, Fenway Park, 37844, 3:22
Tigers at Red Sox, Monday, May 28, 2012, 1:36PM, Fenway Park, 37921, 2:37
Tigers at Red Sox, Tuesday, May 29, 2012, 7:10PM, Fenway Park, 37216, 3:15
Tigers at Red Sox, Wednesday, May 30, 2012, 7:11PM, Fenway Park, 37195, 3:04
Tigers at Red Sox, Thursday, May 31, 2012, 7:10PM, Fenway Park, 37629, 3:23
Orioles at Red Sox, Tuesday, June 5, 2012, 7:11PM, Fenway Park, 37181, 3:34
Orioles at Red Sox, Wednesday, June 6, 2012, 7:10PM, Fenway Park, 37243, 2:31
Orioles at Red Sox, Thursday, June 7, 2012, 7:10PM, Fenway Park, 37307, 2:50
Nationals at Red Sox, Friday, June 8, 2012, 7:11PM, Fenway Park, 37309, 3:13
Nationals at Red Sox, Saturday, June 9, 2012, 4:07PM, Fenway Park, 37534, 2:53
Nationals at Red Sox, Sunday, June 10, 2012, 1:34PM, Fenway Park, 37467, 3:06
Marlins at Red Sox, Tuesday, June 19, 2012, 7:11PM, Fenway Park, 37701, 2:53
Marlins at Red Sox, Wednesday, June 20, 2012, 7:10PM, Fenway Park, 37362, 3:14
Marlins at Red Sox, Thursday, June 21, 2012, 7:13PM, Fenway Park, 37261, 3:09
Braves at Red Sox, Friday, June 22, 2012, 8:24PM, Fenway Park, 37281, 2:55
Braves at Red Sox, Saturday, June 23, 2012, 7:19PM, Fenway Park, 37782, 3:03
Braves at Red Sox, Sunday, June 24, 2012, 1:38PM, Fenway Park, 37565, 2:55
Blue Jays at Red Sox, Monday, June 25, 2012, 7:11PM, Fenway Park, 37208, 3:01
Blue Jays at Red Sox, Tuesday, June 26, 2012, 7:11PM, Fenway Park, 37755, 3:02
Blue Jays at Red Sox, Wednesday, June 27, 2012, 1:36PM, Fenway Park, 37744, 2:40
Yankees at Red Sox, Friday, July 6, 2012, 7:11PM, Fenway Park, 38066, 3:59
Yankees at Red Sox, Saturday, July 7, 2012, 12:38PM, Fenway Park, 38170, 3:07
Yankees at Red Sox, Saturday, July 7, 2012, 7:16PM, Fenway Park, 37791, 3:36
Yankees at Red Sox, Sunday, July 8, 2012, 8:07PM, Fenway Park, 38270, 4:02
White Sox at Red Sox, Monday, July 16, 2012, 7:12PM, Fenway Park, 38334, 2:40
White Sox at Red Sox, Tuesday, July 17, 2012, 7:10PM, Fenway Park, 37771, 3:06
White Sox at Red Sox, Wednesday, July 18, 2012, 7:24PM, Fenway Park, 37367, 2:50
White Sox at Red Sox, Thursday, July 19, 2012, 7:10PM, Fenway Park, 38413, 2:47
Blue Jays at Red Sox, Friday, July 20, 2012, 7:11PM, Fenway Park, 38093, 3:01
Blue Jays at Red Sox, Saturday, July 21, 2012, 7:22PM, Fenway Park, 38170, 3:04
Blue Jays at Red Sox, Sunday, July 22, 2012, 1:37PM, Fenway Park, 37737, 3:28
Tigers at Red Sox, Monday, July 30, 2012, 7:13PM, Fenway Park, 37784, 2:56
Tigers at Red Sox, Tuesday, July 31, 2012, 7:10PM, Fenway Park, 37275, 2:22
Tigers at Red Sox, Wednesday, August 1, 2012, 7:11PM, Fenway Park, 37213, 3:34
Twins at Red Sox, Thursday, August 2, 2012, 7:13PM, Fenway Park, 37191, 2:35
Twins at Red Sox, Friday, August 3, 2012, 7:13PM, Fenway Park, 37285, 4:08
Twins at Red Sox, Saturday, August 4, 2012, 7:12PM, Fenway Park, 37914, 3:22
Twins at Red Sox, Sunday, August 5, 2012, 1:37PM, Fenway Park, 37019, 3:14
Rangers at Red Sox, Monday, August 6, 2012, 7:11PM, Fenway Park, 37316, 2:47
Rangers at Red Sox, Tuesday, August 7, 2012, 7:10PM, Fenway Park, 38416, 3:21
Rangers at Red Sox, Wednesday, August 8, 2012, 1:36PM, Fenway Park, 37716, 3:30
Angels at Red Sox, Tuesday, August 21, 2012, 7:12PM, Fenway Park, 37794, 3:00
Angels at Red Sox, Wednesday, August 22, 2012, 7:11PM, Fenway Park, 37373, 3:14
Angels at Red Sox, Thursday, August 23, 2012, 7:12PM, Fenway Park, 37829, 4:34
Royals at Red Sox, Friday, August 24, 2012, 7:13PM, Fenway Park, 37228, 2:54
Royals at Red Sox, Saturday, August 25, 2012, 7:11PM, Fenway Park, 37103, 4:31
Royals at Red Sox, Sunday, August 26, 2012, 1:38PM, Fenway Park, 37188, 3:36
Royals at Red Sox, Monday, August 27, 2012, 1:37PM, Fenway Park, 37506, 2:34
Blue Jays at Red Sox, Friday, September 7, 2012, 8:28PM, Fenway Park, 37156, 3:08
Blue Jays at Red Sox, Saturday, September 8, 2012, 7:11PM, Fenway Park, 37107, 2:55
Blue Jays at Red Sox, Sunday, September 9, 2012, 1:37PM, Fenway Park, 37226, 3:03
Yankees at Red Sox, Tuesday, September 11, 2012, 7:13PM, Fenway Park, 37437, 3:11
Yankees at Red Sox, Wednesday, September 12, 2012, 7:15PM, Fenway Park, 37230, 3:43
Yankees at Red Sox, Thursday, September 13, 2012, 7:12PM, Fenway Park, 38134, 3:11
Orioles at Red Sox, Friday, September 21, 2012, 7:11PM, Fenway Park, 37731, 3:00
Orioles at Red Sox, Saturday, September 22, 2012, 1:10PM, Fenway Park, 37570, 4:14
Orioles at Red Sox, Sunday, September 23, 2012, 1:35PM, Fenway Park, 37310, 2:53
Rays at Red Sox, Tuesday, September 25, 2012, 7:22PM, Fenway Park, 37045, 2:50
Rays at Red Sox, Wednesday, September 26, 2012, 7:25PM, Fenway Park, 37247, 3:18
